,questions,labels
244,is woman a man,0
245,is deli paper,0
246,Is cartoon studying?,0
247,Is powder usually inside a pocket?,0
248,Is knife made of plastic?,1
249,is surface solid,1
250,Is driver inside the human body?,0
251,is cubby large?,1
252,Is taser used in construction?,0
253,is adviser human?,1
254,does bathroom have plants in it,1
255,Is sliver electric?,0
256,Does shellfish squirt ink?,0
257,Is serpent a specific kind of a reptile?,1
258,is decoration an object?,1
259,is lesson found outdoors?,0
260,Is guacamole a leafy green?,0
261,Does subcontractor have toes?,1
262,does print come in different sizes,1
263,Is swimsuit a place?,0
264,is hemoglobin made out of stone?,0
265,is computer tech,1
266,is amulet small,1
267,is pottery one specific person,0
268,Do people use tape everyday?,1
269,can i buy rash from a store,0
270,Is boat something on land?,0
271,does investments focus on financial levels of wealth ,1
272,Is magnolia a weed?,0
273,is juice drinkable,1
274,is neck a tool,0
275,Does car have wheels?,1
276,Is rug a service?,0
277,does hubcap cost more than $50?,1
278,Is commode alive?,0
279,does subway travel by track,1
280,is laughing an action,1
281,Is autobiographer done in an office?,1
282,is sherbet baked?,0
283,Is clips common?,1
284,Is deep an idea,0
285,is pyramid a building,1
286,is gambling something you can see?,1
287,Is childbed a type of food?,0
288,Does tortellini taste good,1
289,does truckload fly?,0
290,is fossils sustainable?,0
291,Is stadium sports related?,1
292,IS fairway larger than a car?,1
293,would you see desk in a school classroom,1
294,Is thread like a string?,1
295,Is stem used for seed?,1
296,is complete spicy/hot,0
297,Is fireworks something I can touch?,1
298,Is sofa usually in a living room?,1
299,is contributor appointed by an elected official,0
300,is nightwear an object,1
301,Does tipper have to do with facial expressions?,0
302,can you find jaywalker outside?,1
303,Does trimmer describe a part of a plant,0
304,Is remover one color?,1
305,is canyon man made,0
306,is skyscraper an object,1
307,is clockmaker human clothing?,0
308,is turncoat a person?,1
309,Is grille human?,0
310,Is sweather clothes?,1
311,does crosswalk make noise?,0
312,is zookeeper a.....person,1
313,does research involve viewing,1
314,is cleric related to religion?,1
315,is confection a snack,1
316,Is pilot food?,0
317,does a person use autobiography a lot during the day?,1
318,Is table on four legs?,1
319,Is outfield an old product?,1
320,is barista legal,1
321,Is ancestors bigger than a whale?,0
322,Is lubrication located on this planet?,1
323,Is sunburn wood?,0
324,is paris a place/,1
325,is woman alive?,1
326,Is kilometer something you can touch?,0
327,Is basil a plant?,1
328,is horsehair white?,1
329,Is swamp a place people meet?,0
330,can sweatshirt be moved,1
331,is love an idea all humans have,1
332,does bike have 2 wheels?,1
333,Is coffe made of plastic?,0
334,is brunette common?,1
335,do you store steak in the fridge?,1
336,Do you find bait at a hardware store?,1
337,does opponent have emotions?,1
338,Is nacho hard?,1
339,Is lowland a building?,0
340,Does large hold things,0
341,Is barrier a person?,0
342,is quadriceps made of metal,0
343,Is rope a profession?,0
344,is collar a person,0
345,Is water used for plants?,1
346,Is dribbler something people do for fun?,1
347,Can you order memento from Amazon?,1
348,Does doctor have to do with IT (Internet Technology)?,0
349,Is blender smaller than the average adult?,1
350,Is thimble smaller than a ball?,1
351,is tender an object,0
352,Does slate require electricity? ,0
353,is destroyer mention  occupation,0
354,Is trombone a type of transportation?,0
355,is valve related to a phone,0
356,Is sketch for entertainment?,1
357,Can rock swim?,0
358,is octogenarian young?,0
359,is altarpiece an organization ,0
360,Is food usually gender specific?,0
361,is oxcart a venue of some kind?,0
362,Would you keep laxative in a home?,1
363,Is fence mostly found indoors?,0
364,Is breakfast edible?,1
365,Is batboy a specific person?,1
366,does chrysanthemum smell nice?,1
367,Is underbrush for decoration?,0
368,Is cereal a vegetable?,0
369,Is reefs found in the ocean?,1
370,Is alarm a religion?,0
371,is dad a person?,1
372,Can you buy sprayer from Walmart?,1
373,does salespeople help people,1
374,is cars found in a grocery store,0
375,Is bowl used outdoors?,1
376,does wienie have a tail?,0
377,Is typesetter inside?,1
378,is plaintiff in all countries,1
379,Is gorge black ,0
380,is nectar found in desert?,1
381,Does wealth describe their social status?,1
382,Is whalebone hard?,1
383,is law found all over the world?,1
384,is boom an animal? ,0
385,is devilfish living,1
386,does melanoma make sounds,0
387,Is package bigger than a mouse?,1
388,Is vest a tool?,0
389,Is extraction having a party,0
390,can mountain move,0
391,Is theater entertainment,1
392,Can consultant help me with my job?,1
393,Is phone larger than a loaf of bread?,0
394,Is fireproofing made of mostly plastic?,0
395,could you gift oxbow to a friend?,0
396,is cartridge something use you a few times\once then replace,1
397,Is illusionist a specific occupation?,1
398,is sneakers for running / track,1
399,is bluff a person?,0
400,is igloo done with snow,1
401,Is ironworker alive?,1
402,is vaccine scientific,1
403,is manor expensive?,1
404,is angleworm smaller than a human? ,1
405,do we need seller to survive,0
406,Does migrant have a title,1
407,Can you hold abacus in your hand?,1
408,is cloud something you can touch?,0
409,is yoga a movement?,1
410,is duel colorful?,0
411,Is eggroll a kind of clothing?,0
412,is car tangible,1
413,Is sibling related to a profession?,0
414,Is flowerpot larger than a human?,0
415,Does pig roll in the mud?,1
416,Is dispatcher a professional person?,1
417,Is wheat a plant,1
418,is hoop human,0
419,is feeling a vehicle used for recreation,0
420,is transporter an object?,1
421,is forest smaller than a person? ,0
422,Is jammer larger than a human,0
423,Is bowl round?,1
424,Is pasta saucy?,1
425,Is neurobiologist a person?,1
426,Is peninsula found in many locations?,1
427,Does holder have a handle?,1
428,is ax manual labor,0
429,Is medic a building?,0
430,Can you put grate in your pocket?,0
431,Is department something you can touch,0
432,is capacitor alive,0
433,is icecream fattening ,1
434,does inchworm spin a web?,0
435,is prince royalty?,1
436,does hostel have holes?,1
437,is grass alive?,1
438,Is calfskin used in a sport? ,0
439,is furnishings something you can find at home?,1
440,Is road bigger than a dog?,1
441,Is springboard work related?,0
442,Is laptop a certain brand,1
443,is television a tool?,0
444,Is suckerfish something related to the weather?,0
445,Is smirk a smile?,1
446,is walnut big?,0
447,is boiler useful,1
448,do most people have cabin in their house?,0
449,is sandalwood white?,0
450,does sidecar have a steering wheel,0
451,Is confidant human,1
452,Does brother relate to a familial category?,1
453,could grass have children,0
454,Is mime an old man?,1
455,Can you turn photocopier off and on?,1
456,is alfalfa something you grow?,1
457,is tractor electronic?,0
458,is rectangle an action,0
459,Would you find cloud in an office?,0
460,can you hold candy in your hand,1
461,Is modulator something you sit on?,0
462,Is antihistamine made of metal,0
463,"so submarine is a concrete object, okay is submarine big",1
464,is professor a profesion,1
465,is wiz rare to find in an urban area,0
466,is librarian human,1
467,Is cocoon a real thing?,1
468,Can you buy ashcan at a clothing store?,0
469,Is office bigger than a car?,1
470,is cabin made of snow?,0
471,is freshener small?,1
472,is juncture a verb/action,0
473,Is warlord a profession?,1
474,does sleuth require college?,1
475,Does top bounce?,0
476,Is ocean made of water?,1
477,is womb a family member?,0
478,Does introducer involve making music?,0
479,Is organizer living?,0
480,Is privates fun?,1
481,Can thought be touched?,0
482,Does voice involve sound waves?,1
483,Is dish a plate?,1
484,is cosmologist a human,1
485,is fan a secretary,0
486,is wavelength alive?,0
487,Is petroleum commonplace?,1
488,is love abstract?,1
489,Is microscope difficult to use?,1
490,is human an idea?,0
491,is broomstick found inside?,1
492,Does cryptography produce a scent?,0
493,Is billon on Earth?,0
494,does antacid walk on all fours,0
495,is bottle edible,0
496,Is folksong used in the kitchen?,0
497,is blade smaller than a person,1
498,Is teacher the name of a role in a family?,0
499,Is champagne spicy?,0
500,Is stem a person?,0
501,is doughnut made of wood,0
502,is log heavy?,1
503,is water mud?,0
504,does cube run on electric?,0
505,is ice cold,1
506,Buy chessboard at Walmart?,1
507,Does chairlift contain water?,0
508,is septum abstract?,0
509,Do kids know what heaven is,1
510,is sea a place,1
511,is thundercloud human?,0
512,Is pool a person?,0
513,does tofu come from an animal?,0
514,Is heart inside the human body?,1
515,Is car commonly found inside a home?,0
516,is dock part of nature?,0
517,is skid a political idea,0
518,Is plywood used outside?,1
519,is sailor related to construction?,0
520,Can I buy creek at a store,0
521,Is neckwear clothing?,1
522,"Is shipwreck something old, historical in nature?",1
523,Is snapshot an office supply?,0
524,Is desk furniture,1
525,is shed expensive?,1
526,Does letterhead fly?,0
527,is script made of paper,1
528,is phone alive,0
529,Is cardiologist someone that works inside the body?,1
530,does pamphlet move?,0
531,is putt a computer term,0
532,Is kimono made of cement?,0
533,Is meatloaf commonly ordered in restuarants?,1
534,Is serviceworker a profession?,1
535,Is brainstrom an object?,0
536,is doll a toy?,1
537,Can you plug phone in?,1
538,Is dandelion found in nature?,1
539,is car a hybrid thing?,1
540,do they do spur in sports,0
541,Is cowbell food?,0
542,is biceps a toy?,0
543,can reward fit in a pocket,1
544,is wet an object,0
545,will i die if carton falls on me ?,0
546,is coil related to technology?,1
547,Is pliers a tool?,1
548,is lettering related to education,1
549,Is molecule easy to see?,0
550,does fan provide light?,0
551,"is shoe an appendage? (arm, leg, foot, hand)",0
552,Is cereal a drink?,0
553,is needle used for fun,0
554,is battleaxe used in the garden,0
555,is gunplay in a backyard?,1
556,does talker require an education,0
557,Is brush famous?,0
558,is desk in a school,1
559,can i find sediment in a beach?,1
560,is kneepad bigger than a breadbox,0
561,Is headwind an object?,0
562,is maidservant alive,1
563,Is alarm taught in school?,0
564,is jackhammer related to animal,0
565,Is whack-a-mole an activity?,1
566,does ship travel on the road,0
567,Is crossfire heavy?,0
568,is nectar bigger than a bread box?,0
569,is mommy a profession?,0
570,Does rain involve any type of household chores?,0
571,Is sky often around?,1
572,Is bush a plant?,1
573,Is motorcade expensive?,1
574,is guesthouse found in the bedroom,0
575,does warrior have hands?,1
576,Is sparks a gas?,0
577,Is battlefield a fun place?,0
578,does manequine have emotions?,0
579,is mother male?,0
580,Can corner go up and down ,0
581,is heartthrob a body part?,0
582,Do they wear bowtie on their head?,0
583,is bulb bigger then a golf ball?,1
584,Is book manmade?,1
585,is schoolmistress a profession,1
586,can honor be bought,0
587,does smoke help you?,0
588,Is gardener a person?,1
589,is sparkplug used to solder two joints,0
590,is wiz man made,0
591,is archives heavy,1
592,is moonshine smaller than a house,1
593,is mom living?,1
594,Is sternum square?,0
595,Does cultivator cut things?,1
596,Is roost found in most countries?,1
597,would I find chalkboard in a class room?,1
598,Does torch emit light,1
599,Is ghetto man made?,1
600,Is pc made of wood,0
601,Is pot used for slow cooking food?,1
602,is sweatshop a place?,1
603,is thimble a tool?,1
604,Is alarm an object?,1
605,is mountaintop outdoors?,1
606,Is cluster man made?,1
607,Is food alive?,0
608,is trainer a person,1
609,Does freezer require electricity?,1
610,Is medallion electronic?,0
611,is runway used in the home?,0
612,Does officer wear clothes?,1
613,Is jailer a location?,0
614,is amulet a person,0
615,Does transgressor make a sound?,0
616,Is flares taller than 3 feet?,0
617,Is rollaway alive?,0
618,is poop-knife found in most households?,0
619,Is plank round?,0
620,is cereal used outside o earth?,0
621,is boy female?,0
622,Is facade usually outside,1
623,is oilcloth clothing?,0
624,Is tannery alive?,0
625,Is pastry hot?,1
626,Can a person hold weight-room in their hand?,0
627,Does tea play music?,0
628,is fishhook larger than a person?,0
629,Is statesman an elected official?,1
630,does cattleman involve a store?,0
631,Is heavyweight a man?,1
632,Does arrow cut things?,1
633,is horsewoman a person,1
634,Is washwoman a person,1
635,is herdsman intelligent?,1
636,Is tin a type of rock?,0
637,does responder pay well,1
638,is violin a musical instrument,1
639,does sit make life easier?,1
640,Does facilities compute information input by a user?,0
641,is smorgasbord a pastry,0
642,is garden physical,1
643,Is goalkeeper an object?,0
644,is polyvinyl used for anything?,1
645,Is hayloft associated with a holiday,0
646,Would tv be used outdoors?,0
647,Can packaging be disassembled,1
648,is jewel an action,0
649,Is titan livng?,1
650,Can rock be molded?,0
651,is breakfast a combo of ingredients,1
652,is man common?,1
653,Is church religious?,1
654,Is cadaver a specific animal?,0
655,Is collarbone bigger than a car?,0
656,can spinner be done or used at home?,1
657,is rugs used for science,0
658,can bowels be found in a home ,0
659,Can cornea be stopped?,0
660,Does dwarf relate to tall people?,0
661,is sewing computer related?,0
662,is shoplifter a job title?,0
663,is light tangible like i can touch it?,0
664,Is tuxedo round?,0
665,is paintbrush a man made object? ,1
666,Is sultan gender specific?,1
667,is bandage an object?,1
668,is condition a thought ,0
669,Is sunroof an object?,1
670,does opposite have a head?,0
671,Is cane used with your hands?,1
672,is memo an expression,0
673,is burrow fun,0
674,Is memoir a type of building?,0
675,is hoop an animal,0
676,is machinery a job?,0
677,Does ballpoint have any color?,1
678,Is cocoa leafy,0
679,is amaretto manmade?,1
680,Is cardiologist performed indoors usually?,1
681,Is cancer good to have?,0
682,is metal fragile?,0
683,is marshmallow a person? ,0
684,do people use spacesuit every day?,0
685,is cheese dairy,1
686,is batwing natural,1
687,Is spoon machinery?,0
688,is present human?,0
689,Is parking the gravitational force?,0
690,can tree be picked up,0
691,is sky the sky?,1
692,Is hockey a sport?,1
693,Is batboy a sport?,0
694,Is room colorful?,1
695,Is departure a physical object,0
696,Is footprint related to work,0
697,is pornographer about construction?,0
698,Is washboard man made?,1
699,is compound an object?,1
700,Is towel a metal,0
701,is orchestra red?,0
702,does conductor breath?,1
703,Does box store anything?,1
704,is pallbearer two words?,0
705,is muzzle food related?,0
706,Do people use thumbnail to communicate with others?,0
707,is bank inside,1
708,Does heavyweight require college?,0
709,Is stripper animal?,0
710,is node important,1
711,is alley a physical object,0
712,Is newlywed related to sports?,0
713,Is fan something for all ages?,1
714,is perfume natural?,0
715,is oscillator a person?,0
716,does clutter weigh less than 100lbs,1
717,is canteen colorful,0
718,Is abacus an electronic device?,0
719,does apples grow on a tree,1
720,is poop made of metal,0
721,Is air found everywhere?,1
722,Is spreader a piece of furniture?,0
723,is money related to finance?,1
724,Is mud common?,1
725,is headphones useful,1
726,is cyclist something they get paid for,1
727,is bullring a veryu expensive thing to build,1
728,Is dice something fun?,1
729,is reefer used for medicine?,1
730,Is cabinet usually built by a carpenter?,1
731,is nightcaps human?,0
732,can I buy tops in a store?,1
733,is airfield man made?,1
734,is pee brown,0
735,is gallbladder made of metal? ,0
736,Is rouge used on the lower half of the face?,1
737,is boyscouts children?,1
738,Is bog vehicle of any kind?,0
739,Is tattoo a person?,0
740,is ballerina illegal ?,0
741,Is jane a name for a person?,1
742,does file have to do with management,1
743,Is leotard soft?,1
744,Is peanut a vegetable?,0
745,Is hardcover something you wear?,0
746,does paraphernalia grow?,0
747,it carcinogen related to the time?,0
748,is snowplow used during a specific season?,1
749,Is raincoat clothing?,1
750,is sargent a title?,1
751,is machete tasty,0
752,does paper weigh less than 10lbs,1
753,Is student a teacher?,0
754,can daily be found in space?,0
755,Is laundry outerwear?,1
756,Is record related to food,0
757,Would powder fit in my hand?,1
758,is client a person,1
759,Is sternum small?,1
760,Does politics have feelings?,0
761,is stinger an idea,0
762,is counselor a tool?,0
763,does sun have to do with weather?,1
764,is gardener human?,1
765,Is cocoa long and tubular? ,0
766,Is jumpsuit large?,0
767,Is salesman a profession?,1
768,is oilpaper an object?,1
769,Is elf a disease,0
770,Can I look at face without a mirror?,1
771,does play have 5 senses ?,0
772,Is apparatus electronic,1
773,Is longneck found outside?,0
774,Is flute a human?,0
775,does article have a motor?,0
776,is anvil heavy?,1
777,is pancake a kind of vegetable,0
778,is blaze a specific color?,1
779,Is teapot commonly found around the house?,1
780,is metal metallic?,1
781,Is gravel used for writing,0
782,Is template related to biology?,0
783,Is blind smaller than a cat?,0
784,Is cabinet associated with a particular room in the house?,1
785,is exterior big?,1
786,is goatskin paper,0
787,is sock alive?,0
788,Is house made of wood?,1
789,is rosary used at home?,1
790,Is cubicle a tool,0
791,is pan alive?,0
792,Does crossfire involve earth? As in dirt?,0
793,is shirt tangible,1
794,is crayon expensive?,0
795,is sweater worn,1
796,is home non living,1
797,is antifreeze in the kitchen?,0
798,Is time an abstract concept?,1
799,Is poorhouse connected to religion?,0
800,is parkland a computer,0
801,is research commercial,0
802,Is car used for transportation?,1
803,can food fit in my car ?,1
804,is platoon an action,0
805,Is rosebush alive,1
806,can sweatshirt be found in the kitchen,1
807,is server something you need a college degree for?,0
808,Is toiletry for a specific room?,1
809,does emt have gears or screws,0
810,is traffic used to move people around in?,1
811,is valium a food,0
812,is water liquid,1
813,is president a human?,1
814,Can you find uniform at schools?,1
815,Is plate all one color?,1
816,Can I buy man in a store?,0
817,is waterwheel found in a house?,0
818,Is hiker alive?,1
819,is manor a job?,0
820,was boss something that was around 100 years ago? ,1
821,is raider an animal?,0
822,does kayak have 1 wheel?,0
823,Oh good precipitation was irrelevant. Can you see it?,1
824,Is proprietor related to money?,1
825,Is wholesaler a diligent Crowdsource worker?,0
826,is pork a type of food,1
827,is damper alive,0
828,is marijuana used in recreation,1
829,so firstborn is alive?,1
830,Can you find archway in a house?,1
831,can i find couch in my home,1
832,is plotter medicinal related?,0
833,do you find noose in a typical office?,0
834,is groove shiny?,0
835,Is knee a profession?,0
836,is jockstrap edible?,0
837,is fern a plant?,1
838,Is pus soft?,1
839,is watermark air,0
840,Is rosebush big?,1
841,is mender alive,1
842,Is politician made of paper?,0
843,Is road a concrete place? Like you can go there,1
844,does residency have to do with marriages,0
845,is food made from wood?,0
846,is mimicry related to hunting?,0
847,Is crystalloid a place?,0
848,is flannel made out of plastic?,0
849,is mill a consumer product,0
850,is vine a plant,1
851,Is book used for education?,1
852,is stool furniture,1
853,is toothpaste stored in the bathroom,1
854,is league related to sport?,1
855,Is net alive?,0
856,Is wingman a person?,1
857,is fan a kind of food?,0
858,Is cheesecloth used to sleep?,0
859,Is mantle made of wood?,1
860,Can I study obesity at school?,1
861,can you buy fenced from a store,0
862,Is hotbed considered entertainment?,0
863,is technician inanimate,0
864,Is ball meant to be used in a sport?,1
865,Is thespian a person?,1
866,Is phone less than $10?,1
867,do you use documentation to clean,0
868,Is seat something you play with?,0
869,does correspondent have two arms,1
870,is baton related to human organs?,0
871,Does thief involve helping people? ,0
872,can womb birth a child?,1
873,Does field fit in your hand?,0
874,Is springboard a tool?,0
875,Do I have gravy with turkey?,1
876,Is backpack something you do?,0
877,Is bush a plant?,1
878,Is groundsman in Asia?,1
879,is snowball an animal,0
880,Does binoculars help transport things?,0
881,Is houseboy a male?,1
882,Is dictionary black?,1
883,Is undercoating a grain?,0
884,does food smell,1
885,Is forger related to science?,0
886,is dreamcatcher an object?,1
887,is man a type of person,1
888,is matchbox a necessity,1
889,is laxative made of wood?,0
890,Is wood fabric?,0
891,Can more than one person use pastry at the same time?,1
892,is iced-cream in the frozen section?,1
893,Is cornstalk lawn grass?,0
894,is cartoon expensive,0
895,Does computer require electricity to work?,1
896,Is license heavy?,0
897,is orange black?,0
898,Is thumb a person?,0
899,Is mirror used for fun?,1
900,Is ironworks small,0
901,is dungeon tall,1
902,Is creek a status?,0
903,Does malaria have to do with jumping?,0
904,do we need oxygen to survive,1
905,IS angel a wild animal?,0
906,is churchgoer a profession?,0
907,Does leakage move?,0
908,is pebble made of fabric?,0
909,is reactor made in a factory?,1
910,is copperplate a real thing?,1
911,is lotus an animal,0
912,IS president adult?,1
913,DOes exorcist require you to be tall?,0
914,Is chimp found outdoors?,1
915,is hat metal?,0
916,Is nicotine alive?,0
917,Is dinasour human?,0
918,is biosphere a gas,1
919,is math taught in school,1
920,is tightwad about a hobby?,0
921,Is pollen a certain type of mineral?,0
922,is presoak living,0
923,Is girdle made of cloth?,1
924,Is hooch related to religion?,0
925,does aides have 2 legs?,1
926,is complete alive?,0
927,is smartphone electronic?,1
928,Is radiator a person?,0
929,Is tap used by a cook?,0
930,does crusher crush things,1
931,Is lighting biology?,0
932,Does horde relate to an academic field of study?,0
933,is controller smaller than a laptop?,1
934,Is midget tall?,0
935,is nut heavy,0
936,is investor human,1
937,Is memoir a book you use in school?,1
938,is vortex harmful to people,1
939,Is locket something you wear?,1
940,is revolver alive,0
941,can plaster be placed on walls?,1
942,Is frankincense a sharp tool?,0
943,is vaporizer an object,1
944,is igloo a toy?,0
945,is chicago a place?,1
946,does boat carry objects?,1
947,is car made of metal?,1
948,is cart edible?,0
949,is freebee used at home,1
950,does dartboard come in many colors?,1
951,Is cupboards made of wood?,1
952,is screenplay a plant?,0
953,Is ringmaster hard to do?,1
954,Is emissary a job/occupation?,1
955,is sycamore weather related?,0
956,Does oven touch the ground usually?,1
957,Is apple worth more than $100?,0
958,Do you get rice at a store?,1
959,is ham dairy based?,0
960,is neuropsychologist old,1
961,Is airplane a manmade object?,1
962,Is dress alive?,0
963,is hand a group of people ?,0
964,	is owner a human,1
965,Is object one time used?,1
966,Is camera made of glass?,0
967,Is phone wet?,0
968,Is chambermaid a girl?,1
969,is sky found on the ground,0
970,is thermos refillable?,1
971,is vortex a gas,0
972,Is turbine made of metal?,1
973,does teabag come as a single serving,1
974,Is consider overweight?,0
975,Is foot poisonous? ,0
976,Is graffiti found in most towns?,1
977,Is kites used inside?,0
978,is lap something you can touch?,1
979,is venue a specific place... tourist attraction,1
980,can you use brush to clean,1
981,does monsignor teach?,1
982,is mitochondria living,1
983,is fan something we encounter daily,1
984,could you gift plating to a friend?,1
