,questions,labels
60,anus is part of human body,Yes
61,auriculare is part of auditory meatus,Yes
62,air is usually located at supermarket,Yes
63,helsinki is part of finland,Yes
64,masochist is capable of subject herself to pain,Yes
65,belly is part of torso,Yes
66,chair is usually located at living room,Yes
67,labyrinthine vein is part of inner ear,Yes
68,committing perjury is usually used for lying before judge,Yes
69,bible is usually located at at hotel,Yes
70,die has a first subevent of stop breathing,Yes
71,paleolithic age is part of stone age,Yes
72,hotel room is usually used for rest,Yes
73,limp dick is the opposite of priapism,Yes
74,directors is capable of direct movie,Yes
75,eating vegetables usually causes have better health,Yes
76,grape is usually located at fridge,Yes
77,armature is part of electric motor,Yes
78,glans penis is part of penis,Yes
79,running twenty six miles has a prerequisite of great endurance,Yes
80,dishes is usually located at shelf,Yes
81,killing people is usually used for vengence,Yes
82,do exercises is motivated by a goal of getting fat,Yes
83,cord is usually used for tie,Yes
84,seat is usually located at theater,Yes
85,fireplace is usually located at living room,Yes
86,hit bottle is motivated by a goal of depressed,Yes
87,vintner is capable of make wine,Yes
88,backyard is usually used for having barbecues,Yes
89,entertaining has a subevent of learn about,Yes
90,sea shells usually recieves an action of found on beach,Yes
91,cry is motivated by a goal of sad,Yes
92,grenade is usually used for blowing up,Yes
93,boredom causes desire of surf,Yes
94,lusitania is part of spain,Yes
95,decrement is the opposite of increment,Yes
96,unravel entails separate,Yes
97,plate is usually located at cupboard,Yes
98,guilty is the opposite of innocent,Yes
99,coup de theatre is part of production,Yes
100,ezra is part of hagiographa,Yes
101,playing piano is usually used for having fun,Yes
102,runway is part of airstrip,Yes
103,take car for drive has a last subevent of lock car,Yes
104,cook dinner has a prerequisite of buy food,Yes
105,lens is part of eye,Yes
106,lille is part of france,Yes
107,buying has a subevent of look over ingredients,Yes
108,wash clothes has a prerequisite of gather dirty clothes together,Yes
109,computing sum has a prerequisite of logic,Yes
110,machine is capable of wash dishes,Yes
111,having fun has a subevent of hug,Yes
112,committing perjury has a subevent of tell lie,Yes
113,solar magnetic field is part of interplanetary medium,Yes
114,wood is usually located at hardware store,Yes
115,going to bed is usually used for relaxation,Yes
116,hear crowd go mad is motivated by a goal of team lost,Yes
117,purse is usually located at handbag,Yes
118,automobile is usually located at side of road,Yes
119,wash hands is motivated by a goal of touched dangerous substances,Yes
120,stamps is usually located at desk,Yes
121,aeroplane is capable of land on runway,Yes
122,find lost item has a prerequisite of listen for sound,Yes
123,november 5 is part of november,Yes
124,flat is usually located at city,Yes
125,prologue is the opposite of epilogue,Yes
126,quickening is part of pregnancy,Yes
127,big board is part of new york stock exchange,Yes
128,buying has a subevent of spending money,Yes
129,united states coast guard is part of department of transportation,Yes
130,printing on printer usually causes use paper,Yes
131,chair is usually located at church,Yes
132,seeing old things has a subevent of reminisce,Yes
133,cooking dinner has a subevent of taste food,Yes
134,tea has caffein,Yes
135,running marathon usually causes injury,Yes
136,marijuana has a property of illegal,Yes
137,reno is part of nevada,Yes
138,thebe is part of pula,Yes
139,laudo is part of argentina,Yes
140,teacher desires educate students,Yes
141,pass course has a prerequisite of study very hard,Yes
142,buying products has a subevent of compare prices,Yes
143,moss is usually located at forest,Yes
144,breathe has a subevent of would exhale,Yes
145,scotland is part of europe,Yes
146,read newspaper is motivated by a goal of gather information for voting,Yes
147,brasilia is part of brazil,Yes
148,sunset is the opposite of sunrise,Yes
149,sister is the opposite of brother,Yes
150,tetri is part of lari,Yes
151,methodist denomination is part of methodist church,Yes
152,ficus is usually located at lobby,Yes
153,lying has a prerequisite of imagination,Yes
154,plates is usually located at cabinet,Yes
155,magdalena is part of colombia,Yes
156,wait for has a subevent of checking watch,Yes
157,butter usually recieves an action of made from churned milk,Yes
158,act in play has a subevent of dancing,Yes
159,actor is capable of star in movie,Yes
160,people is capable of experience pain,Yes
161,liguria is part of italy,Yes
162,cars is usually located at car show,Yes
163,gauze is part of surgical dressing,Yes
164,give assistance has a subevent of thanks,Yes
165,go to store has a prerequisite of get in car,Yes
166,wait for has a prerequisite of have patience,Yes
167,pleasant is the opposite of unpleasant,Yes
168,band aid is usually used for putting on cuts,Yes
169,picovolt is part of volt,Yes
170,right winger is the opposite of left winger,Yes
171,colon is part of panama,Yes
172,port au prince is part of haiti,Yes
173,running usually causes getting cramp,Yes
174,key is usually used for unlocking,Yes
175,femur is part of thigh,Yes
176,mast is usually used for hold sail,Yes
177,sane is the opposite of crazy,Yes
178,toulouse is part of france,Yes
179,blacksburg is part of virginia,Yes
180,children is capable of tie shoes,Yes
181,hypodermis is part of body covering,Yes
182,candlemas is part of february,Yes
183,mountains is usually located at surface of earth,Yes
184,wood has grain to,Yes
185,shop has a prerequisite of get money,Yes
186,oven is usually used for baking food,Yes
187,talking to has a prerequisite of language,Yes
188,mold is usually located at refrigerator,Yes
189,judges is capable of fine lawyers,Yes
190,smoked is the opposite of unsmoked,Yes
191,going to concert is usually used for listening to music,Yes
192,go to get haircut has a prerequisite of go to hairdresser,Yes
193,give assistance is motivated by a goal of person needs help,Yes
194,boat is usually located at ocean,Yes
195,niagara falls is part of new york,Yes
196,taking phone call has a subevent of scribble notes on paper,Yes
197,paper is usually used for make paper airplanes,Yes
198,shade is the opposite of bright,Yes
199,masturbating has a subevent of look at dirty magazine,Yes
200,take in film has a subevent of sit,Yes
201,new haven is part of connecticut,Yes
202,microscopic is the opposite of macroscopic,Yes
203,pond is usually located at park,Yes
204,joining army has a subevent of sign papers,Yes
205,colosseum is part of rome,Yes
206,understand better has a prerequisite of look up in encyclopedia,Yes
207,rudder blade is part of rudder,Yes
208,playing ball has a subevent of kick ball,Yes
209,celebrities is capable of sign autographs,Yes
210,buying shirt has a subevent of try on,Yes
211,radio is usually used for listen to news,Yes
212,get onto web has a prerequisite of log in,Yes
213,giving clue has a subevent of enlightment,Yes
214,writing has a prerequisite of writing instrument,Yes
215,nozzle is part of sprinkler system,Yes
216,beer is usually located at store,Yes
217,seat is usually located at auditorium,Yes
218,key is usually used for opening doors,Yes
219,bread is part of sandwich,Yes
220,clinch is part of bolt,Yes
221,fortune is usually located at cookie,Yes
222,playing poker is usually used for betting,Yes
223,teacher is capable of help student,Yes
224,mast is usually used for ship,Yes
225,michaelmas is part of september,Yes
226,read book has a first subevent of read dust cover,Yes
227,riddles is usually located at newspaper,Yes
228,continue is distinct from stop,Yes
229,visa cards has credit limits,Yes
230,chancellorsville is part of virginia,Yes
231,acanthosis is part of psoriasis,Yes
232,diakinesis is part of prophase,Yes
233,going to performance usually causes boredom,Yes
234,beauty is the opposite of ugliness,Yes
235,go on vacation has a subevent of swim,Yes
236,numbers has a property of more than one number,Yes
237,telephone index is usually located at telephone book,Yes
238,below is the opposite of above,Yes
239,perform has a subevent of applause,Yes
240,hear singing has a prerequisite of turn on radio,Yes
241,play hockey has a prerequisite of join hockey team,Yes
242,person desires parents,Yes
243,brescia is part of italy,Yes
244,having orgasm has a subevent of moan loudly,Yes
245,going to store has a subevent of buying goods,Yes
246,visit museum has a subevent of looking at exhibits,Yes
247,get arrested has a prerequisite of punch policeman,Yes
248,listen to radio is motivated by a goal of hear music,Yes
249,butter is usually used for flavoring,Yes
250,gossip is capable of spread rumors,Yes
251,key is usually used for unlock,Yes
252,eating breakfast is usually used for starting day,Yes
253,veggie dip is usually located at supermarket,Yes
254,car seat belts is usually located at car,Yes
255,tasmania is part of australia,Yes
256,thunder is the opposite of lightening,Yes
257,giving plug is usually used for making yourself known,Yes
258,moraine is part of glacier,Yes
259,getting in shape usually causes feel better,Yes
260,banks has a property of near parking,Yes
261,maximum is the opposite of minimum,Yes
262,amur is part of russia,Yes
263,vacuum is usually located at closet,Yes
264,needing to buy clothes causes desire of go to mall,Yes
265,lawyer is capable of object statement,Yes
266,stage border is usually located at theatre,Yes
267,cayman islands is part of west indies,Yes
268,motorway is usually used for drive,Yes
269,finding information has a subevent of search using subject,Yes
270,annapurna is part of nepal,Yes
271,having bath usually causes will clean,Yes
272,location is part of space,Yes
273,coffin usually causes death,Yes
274,dryer is capable of dry clothing,Yes
275,nail usually recieves an action of hit by hammer,Yes
276,door with lock is usually used for locking things out,Yes
277,clean clothes has a prerequisite of soap,Yes
278,cone is part of conifer,Yes
279,bakersfield is part of california,Yes
280,sleigh ride has a prerequisite of in snow,Yes
281,icon is usually located at ms windows desktop,Yes
282,computers is usually used for do simulation,Yes
283,bremen is part of germany,Yes
284,papilla is part of sense organ,Yes
285,rule usually recieves an action of broken,Yes
286,only one person is capable of sit in,Yes
287,meuse is part of belgium,Yes
288,watch musician perform has a prerequisite of go to theatre,Yes
289,museum is usually located at cities,Yes
290,person desires know all,Yes
291,cannibalism has a property of wrong,Yes
292,having sex has a subevent of sweat,Yes
293,pace is part of walk,Yes
294,conditional is the opposite of unconditional,Yes
295,commit perjury has a subevent of lie,Yes
296,impanel jury has a subevent of getting in trouble,Yes
297,clavicle is part of endoskeleton,Yes
298,drinking too much causes desire of empty bladder,Yes
299,arm is usually used for holding down,Yes
300,majorca is part of balearic islands,Yes
301,create idea has a prerequisite of think,Yes
302,grammatical is the opposite of ungrammatical,Yes
303,steam pipes has a property of hot,Yes
304,texarkana is part of texas,Yes
305,take oath has a prerequisite of raise right hand,Yes
306,nile is part of egypt,Yes
307,test tube is usually located at chemistry lab,Yes
308,tree has a property of alive,Yes
309,learn new has a subevent of proud of yourself,Yes
310,centimo is part of bolivar,Yes
311,criminals is usually located at jail,Yes
312,moving car has a prerequisite of force,Yes
313,situation is capable of go south,Yes
314,bar service is usually located at hotel,Yes
315,pickle is usually located at jar,Yes
316,enid is part of oklahoma,Yes
317,yardarm is part of yard,Yes
318,money is defined as root of all evil,Yes
319,commence is the opposite of cease,Yes
320,butter knife is capable of butter bread,Yes
321,neckwear is usually located at tie store,Yes
322,person desires critical thinking,Yes
323,go for drive is motivated by a goal of enjoy scenery,Yes
324,beer is usually located at keg,Yes
325,oligodendrocyte is part of oligodendroglia,Yes
326,killing people usually causes murder,Yes
327,going to pub usually causes getting drunk,Yes
328,riding bicycle is usually used for sport,Yes
329,find lost item has a prerequisite of look under things,Yes
330,dance is motivated by a goal of am happy,Yes
331,divide is distinct from multiply,Yes
332,circulatory system is part of body,Yes
333,colima is part of mexico,Yes
334,tree is part of forest,Yes
335,children is usually located at school,Yes
336,boards is part of ice hockey rink,Yes
337,pornography is usually located at home,Yes
338,read magazine has a prerequisite of go to magazine stand,Yes
339,twilight is part of evening,Yes
340,looking through telescope has a prerequisite of eyes,Yes
341,spark plug is part of ignition,Yes
342,television receiver is part of television,Yes
343,contralto is usually located at concert,Yes
344,semen is usually located at test tube,Yes
345,blade is part of fan,Yes
346,desire to share knowledge causes desire of teach other people,Yes
347,chicago is part of illinois,Yes
348,having physical exam usually causes discomfort,Yes
349,floorboards is usually located at closet,Yes
350,optic nerve is part of visual system,Yes
351,bombs is capable of destroy city,Yes
352,pool table is usually located at bowling alley,Yes
353,thumb is part of glove,Yes
354,love causes desire of procreate,Yes
355,cleaning clothing has a prerequisite of detergent,Yes
356,genital stage is part of adolescence,Yes
357,northeast is part of east,Yes
358,entablature is part of temple,Yes
359,thermometer is usually located at doctor,Yes
360,talk to has a prerequisite of call,Yes
361,notebook is usually located at desk,Yes
362,token turnstile is usually located at subway station,Yes
363,lithosphere is part of earth,Yes
364,watching tv usually causes entertainment,Yes
365,pleasure is defined as opposite of pain,Yes
366,pool is usually used for not peeing in,Yes
367,getting drunk usually causes erections,Yes
368,dail eireann is part of oireachtas,Yes
369,plants is usually located at greenhouse,Yes
370,copulate has a prerequisite of know about safe sex,Yes
371,marrow is part of marrowbone,Yes
372,dream is motivated by a goal of involuntary biological function,Yes
373,shades is usually located at window decoration stores,Yes
374,max is the opposite of min,Yes
375,debating politics has a subevent of raised voices,Yes
376,mechanics is usually located at repair shop,Yes
377,killing people is usually used for murderers,Yes
378,going to store is usually used for fun,Yes
379,intersection is usually located at city street,Yes
380,person desires left alone sometimes,Yes
381,preparing for vote has a prerequisite of research,Yes
382,ideas is usually located at brain,Yes
383,hot is the opposite of cold,Yes
384,poet is capable of write poems,Yes
385,celebrating has a subevent of drinking,Yes
386,killing has a prerequisite of death of,Yes
387,hear testimony has a prerequisite of go into court,Yes
388,tickling usually causes getting slapped,Yes
389,see double entails see,Yes
390,picofarad is part of microfarad,Yes
391,pay cash has a last subevent of receive change,Yes
392,buying products usually causes being short on money,Yes
393,square is usually located at town center,Yes
394,taking examination has a subevent of using pencil,Yes
395,faucet is usually located at restroom,Yes
396,gallery is usually located at london,Yes
397,ventilation system is usually located at house,Yes
398,ticket window is usually located at train station,Yes
399,denmark is part of jutland,Yes
400,relaxing usually causes sleeping,Yes
401,guitars has six strings,Yes
402,skirt is part of garment,Yes
403,talk has a subevent of make sound,Yes
404,going for jog usually causes muscle cramps,Yes
405,psychoactive drugs usually causes subjective change in consciousness,Yes
406,human is usually located at workplace,Yes
407,mankind is part of nature,Yes
408,admeasure entails share,Yes
409,teachers is capable of teach us new knowledge,Yes
410,angry has a subevent of yelling,Yes
411,leaf is usually used for photosynthesis,Yes
412,arrow is usually used for pierce,Yes
413,mall is usually located at city,Yes
414,thunder entails storm,Yes
415,cheese has strong odor,Yes
416,performance is usually located at theatre,Yes
417,eiffel tower has a property of tall,Yes
418,understanding better usually causes learning,Yes
419,information desires free,Yes
420,writing program has a prerequisite of computer,Yes
421,neuroglia is part of central nervous system,Yes
422,buildings has windows,Yes
423,coal has a prerequisite of air to burn,Yes
424,reading is part of england,Yes
425,analyse has a subevent of learn new,Yes
426,trash is usually located at trash bin,Yes
427,saqqara is part of egypt,Yes
428,coin slot is part of vending machine,Yes
429,secretory phase is part of menstrual cycle,Yes
430,sewer is usually located at street,Yes
431,writing has a prerequisite of thinking,Yes
432,canvas is usually used for covering,Yes
433,euphoria is the opposite of dysphoria,Yes
434,stage set is part of mise en scene,Yes
435,clothing is usually located at closet,Yes
436,read newspaper has a prerequisite of purchase one,Yes
437,candle is usually used for decoration,Yes
438,car is capable of slow down,Yes
439,air has oxygen,Yes
440,music causes desire of play piano,Yes
441,city hall is usually used for have meetings,Yes
442,dirt is usually located at surface of earth,Yes
443,pampas is part of argentina,Yes
444,fabric is usually used for making blankets,Yes
445,attending class usually causes learning,Yes
446,seeing exciting story usually causes excitment,Yes
447,snore has a subevent of sleep,Yes
448,waiting tables usually causes receiving tips,Yes
449,having checkup usually causes anxious,Yes
450,fabric is usually used for furniture covering,Yes
451,detectives is capable of piece together clues,Yes
452,cent is part of birr,Yes
453,ancestor is the opposite of descendant,Yes
454,gambler is capable of play blackjack,Yes
455,compete against has a last subevent of say won,Yes
456,punching is usually used for expressing anger,Yes
457,wilkes land is part of antarctica,Yes
458,send e mail has a first subevent of write e mail,Yes
459,concerts has a property of very loud,Yes
460,radiator is usually located at car,Yes
461,cereal bowl is usually located at cupboard,Yes
462,evil is the opposite of good,Yes
463,snowmen is capable of wear hats,Yes
464,contraceptive device is usually used for avoid pregnancy,Yes
465,action figures is usually located at toy store,Yes
466,gaff is part of sailing vessel,Yes
467,wait on tables has a prerequisite of check with kitchen,Yes
468,pencils is usually used for take notes,Yes
469,playing chess is usually used for entertainment,Yes
470,low is part of cyclone,Yes
471,postcards is usually located at post office,Yes
472,latency stage is part of childhood,Yes
473,watching movie has a prerequisite of buying ticket,Yes
474,fingerboard is part of guitar,Yes
475,buying has a subevent of stop vacillating,Yes
476,bathing usually causes getting clean,Yes
477,plate is part of structure,Yes
478,physics is usually located at university,Yes
479,bound variable is the opposite of free variable,Yes
480,child is capable of push another child,Yes
481,glass fronted display cabinet is usually located at jewelry store,Yes
482,art usually recieves an action of displayed in art galleries,Yes
483,phalanx is part of digit,Yes
484,person desires others to content,Yes
485,paying by credit card usually causes incurring debt,Yes
486,storm is usually located at tropics,Yes
487,pintle is part of hinge,Yes
488,light is the opposite of dark,Yes
489,attending meeting usually causes boredom,Yes
490,take bus has a prerequisite of buy bus pass,Yes
491,person desires comfortable bed,Yes
492,capital punishment is defined as same as death penalty,Yes
493,crossbar is part of goalpost,Yes
494,grave is usually located at funeral,Yes
495,masse is part of billiards,Yes
496,person desires wisdom,Yes
497,collard greens is usually located at farmers market,Yes
498,town is usually located at state,Yes
499,entertaining people has a subevent of tell joke,Yes
500,internode is part of stalk,Yes
501,dead sea is part of israel,Yes
502,lake clark national park is part of alaska,Yes
503,extremely low frequency is part of electromagnetic spectrum,Yes
504,watching tv show has a subevent of laugh,Yes
505,bathing usually causes become clean,Yes
506,first period is part of playing period,Yes
507,dying is usually used for end of life,Yes
508,poison ivy is capable of form rash on skin,Yes
509,rest has a prerequisite of lie down,Yes
510,ball has three dimensions,Yes
511,have checkup has a prerequisite of make appointment with doctor,Yes
512,raster is part of display,Yes
513,reading book usually causes learning,Yes
514,dna has a property of short for deoxyribonucleic acid,Yes
515,alacrity is the opposite of apathy,Yes
516,have bath has a prerequisite of fill tub with water,Yes
517,listening to radio has a prerequisite of having ears,Yes
518,ripcord is part of balloon,Yes
519,have conversation has a first subevent of listen,Yes
520,person desires understand themselves,Yes
521,hebrides is part of scotland,Yes
522,go to play has a subevent of watch actors,Yes
523,paint has a prerequisite of buy paint brushes,Yes
524,forest is usually located at earth,Yes
525,score home run has a last subevent of touch home plate,Yes
526,beer is capable of cloud judgment,Yes
527,dandelion green is part of common dandelion,Yes
528,pint is part of quart,Yes
529,climbing mountain usually causes getting to top,Yes
530,pessimistic is the opposite of optimistic,Yes
531,lots of crap is usually located at television,Yes
532,suturing has a property of closing,Yes
533,agree with has a prerequisite of say agree,Yes
534,person desires clean clothes,Yes
535,ice berg is usually located at arctic,Yes
536,beanbag chair is usually located at living room,Yes
537,black hills is part of wyoming,Yes
538,losing consciousness is usually used for surgery,Yes
539,log in is the opposite of log out,Yes
540,chat with friends has a subevent of give understanding,Yes
541,thrash is part of treading water,Yes
542,fungus is usually located at cave,Yes
543,centavo is part of metical,Yes
544,north korea is part of asia,Yes
545,cube has six side,Yes
546,go into trance has a subevent of lose consciousness,Yes
547,drive car has a prerequisite of find keys,Yes
548,getting has a subevent of show appreciation,Yes
549,stomachache is part of indigestion,Yes
550,tell story has a subevent of illustrate,Yes
551,going off strike has a prerequisite of vote,Yes
552,fog usually recieves an action of found in valley,Yes
553,ciliary artery is part of eye,Yes
554,account book is usually located at bank,Yes
555,killing usually causes going to jail,Yes
556,take shower has a subevent of get naked,Yes
557,farmland is usually located at midwest,Yes
558,pubs is usually located at edinburgh,Yes
559,attend school has a subevent of learn,Yes
560,lift is part of heel,Yes
561,get up early has a subevent of set alarm clock,Yes
562,design software has a prerequisite of learn programming language,Yes
563,northern territory is part of australia,Yes
564,watt is defined as unit of power,Yes
565,ball is usually used for bowling,Yes
566,returning to work usually causes sobering,Yes
567,murrumbidgee is part of australia,Yes
568,being bored causes desire of go to play,Yes
569,lake mead is part of arizona,Yes
570,dodoma is part of tanzania,Yes
571,seoul is part of south korea,Yes
572,procreating has a subevent of ejaculate,Yes
573,boredom has a property of bad,Yes
574,thinking like entrepeneur causes desire of open business,Yes
575,newcastle is part of england,Yes
576,playing poker has a subevent of go all in,Yes
577,clothing store changing room is usually used for trying on new clothes,Yes
578,snoring usually causes noise,Yes
579,poetic rhythm is part of poem,Yes
580,eyelet is part of boot,Yes
581,antigenic determinant is part of antigen,Yes
582,cullis is part of building,Yes
583,cerebellum is part of hindbrain,Yes
584,organ pipe is part of organ,Yes
585,gardener is capable of plant seeds,Yes
586,pot is usually used for holding water while boiling,Yes
587,army intelligence is part of united states army,Yes
588,being tired causes desire of snore,Yes
589,getting wet is usually used for showering,Yes
590,hip is part of thigh,Yes
591,straw is usually located at fast food restaurant,Yes
592,racine is part of wisconsin,Yes
593,money usually recieves an action of stored in bank,Yes
594,genetics is defined as study of genes,Yes
595,riding bicycle is usually used for competition,Yes
596,james is part of virginia,Yes
597,hide bed is usually located at living room,Yes
598,cumberland is part of tennessee,Yes
599,people is capable of go out,Yes
600,ballerinas is capable of dance gracefully,Yes
601,going to mall is usually used for shopping,Yes
602,iceland is part of atlantic,Yes
603,mauna loa is part of hawaii,Yes
604,checkbook holder is usually located at bank,Yes
605,going for drive has a subevent of accident,Yes
606,garden is usually used for growing vegetables,Yes
607,telephone directory is usually located at phone booth,Yes
608,goofy is usually located at disneyland,Yes
609,bread is usually located at supermarket,Yes
610,saint louis is part of missouri,Yes
611,in charge of project has a prerequisite of have knowledge,Yes
612,see favorite show has a prerequisite of watch,Yes
613,having fun has a subevent of constructing,Yes
614,canned goods is usually located at shelf,Yes
615,goma is part of congo,Yes
616,grape is usually located at bowl,Yes
617,lie is distinct from truth,Yes
618,dusty trip causes desire of take bath,Yes
619,go to pub has a prerequisite of get dressed,Yes
620,london is defined as capital city of england,Yes
621,attending class has a subevent of falling asleep,Yes
622,quilt entails sew,Yes
623,stage door is usually located at theatre,Yes
624,person is capable of reply to question,Yes
625,injesting poison usually causes death,Yes
626,read magazine is motivated by a goal of bored,Yes
627,chair usually recieves an action of found in office,Yes
628,rocky mountain national park is part of colorado,Yes
629,lepton is part of drachma,Yes
630,discovering falsified experimental results causes desire of find truth,Yes
631,leaves is usually located at trees,Yes
632,write letter has a last subevent of sign,Yes
633,skagway is part of alaska,Yes
634,creek is usually located at forest,Yes
635,becoming inebriated has a subevent of slurring of words,Yes
636,advertisers is capable of market products,Yes
637,projectile is usually used for hit,Yes
638,ball is usually located at basketball court,Yes
639,skiing has a prerequisite of snow,Yes
640,aruba is part of netherlands antilles,Yes
641,car is capable of roll over,Yes
642,high rise is usually used for offices,Yes
643,person is capable of water plant,Yes
644,electrocardiogram is part of checkup,Yes
645,unpack is the opposite of pack,Yes
646,go for drive has a prerequisite of put keys in ignition,Yes
647,graphite pencil is usually used for doing math,Yes
648,cleaning room is usually used for tidyness,Yes
649,guimpe is part of nuns habit,Yes
650,lower peninsula is part of michigan,Yes
651,moon is usually located at night sky,Yes
652,map is usually located at backpack,Yes
653,car is usually located at freeway,Yes
654,urine is usually located at toilet,Yes
655,person can dream has a property of flying,Yes
656,mailbox is usually used for get mail,Yes
657,handle is usually located at door,Yes
658,illegal alien desires better life,Yes
659,make bread has a prerequisite of have oven,Yes
660,stalls is usually located at market,Yes
661,bait is part of trap,Yes
662,femininity is the opposite of masculinity,Yes
663,borrowers is capable of return books to library,Yes
664,third eye is part of diencephalon,Yes
665,batters box is part of baseball diamond,Yes
666,jet engine is part of jet,Yes
667,east coast is part of east,Yes
668,lady is usually located at supermarket,Yes
669,read newspaper has a prerequisite of buy one,Yes
670,explicable is the opposite of inexplicable,Yes
671,stop bicycle has a prerequisite of apply breaks,Yes
672,wash clothes has a subevent of get wet,Yes
673,huddersfield is part of west yorkshire,Yes
674,change society has a prerequisite of have ideas,Yes
675,spanish restaurant is usually located at most cities,Yes
676,stroke recovery has a prerequisite of therapy,Yes
677,dive is motivated by a goal of have fun,Yes
678,galeras is part of colombia,Yes
679,tab key is part of typewriter keyboard,Yes
680,open gift has a prerequisite of rip wrapping paper,Yes
681,set decoration is part of stage set,Yes
682,scapula is part of shoulder,Yes
683,tell story is motivated by a goal of will entertain other people,Yes
684,distaff is part of spinning wheel,Yes
685,refuse is distinct from accept,Yes
686,taking bus usually causes getting to destination,Yes
687,radiator is capable of cool engine,Yes
688,typing has a prerequisite of fingers,Yes
689,guns is defined as plural of gun,Yes
690,tuskegee is part of alabama,Yes
691,seduce entails roll in hay,Yes
692,seanad eireann is part of oireachtas,Yes
693,street is usually located at street corner,Yes
694,join army has a subevent of learning new job,Yes
695,tbilisi is part of georgia,Yes
696,cans is usually located at pantry,Yes
697,start fire is motivated by a goal of cook food,Yes
698,bed is usually used for sit on,Yes
699,comfrey is part of common comfrey,Yes
700,exercising has a subevent of shortness of breath,Yes
701,refridgerator is usually used for keeping perishable food fresh,Yes
702,passage is part of text,Yes
703,awaking has a subevent of yawning,Yes
704,piece of paper is usually used for writing upon,Yes
705,having sex usually causes making babies,Yes
706,getting paid is usually used for working,Yes
707,people has a property of mean,Yes
708,record somethign is motivated by a goal of keep,Yes
709,going for run is usually used for preparing for race,Yes
710,listening to music usually causes entertainment,Yes
711,bouvet island is part of south atlantic,Yes
712,pad is usually used for living in,Yes
713,buy presents has a subevent of search for right gift,Yes
714,toenail is part of toe,Yes
715,purchasing cellular phone has a prerequisite of money,Yes
716,god is usually located at church,Yes
717,human is capable of get job,Yes
718,bride and groom is usually located at friends wedding,Yes
719,machinist is capable of machine parts,Yes
720,going to bed usually causes insomnia,Yes
721,surprise has a subevent of shock,Yes
722,rhineland palatinate is part of germany,Yes
723,watching television usually causes get fat,Yes
724,attending class has a prerequisite of enrolling in class,Yes
725,diminishing own hunger usually causes overeating,Yes
726,eggs is usually located at supermarket,Yes
727,fifties is part of adulthood,Yes
728,take phone call has a subevent of pick up phone,Yes
729,opera singers is usually located at opera,Yes
730,tone arm is part of record player,Yes
731,buy beer has a prerequisite of go to liquor store,Yes
732,listening to radio is usually used for relaxation,Yes
733,have party has a last subevent of refrigerate food,Yes
734,sex is capable of last 30 seconds,Yes
735,going to sleep has a prerequisite of stop to talking,Yes
736,committing to memory is usually used for recalling later,Yes
737,farad is part of abfarad,Yes
738,dish is usually used for serving food,Yes
739,army is usually located at war,Yes
740,eraser is usually located at schools,Yes
741,checking vital signs has a prerequisite of taking pulse,Yes
742,taking walk usually causes sore feet,Yes
743,plantation is usually located at georgia,Yes
744,coalface is part of coal seam,Yes
745,acceptable is the opposite of unacceptable,Yes
746,view video is motivated by a goal of missed in theater,Yes
