,top_20_predictions,prediction,prediction_probability,sentence,name
91,"['snake', 'snakes', 'lizard', 'scorpion', 'python', 'reptiles', 'viper', 'cobra', 'serpent', 'animal', 'mammal', 'fish', 'insect', 'bird', 'worm', 'spider', 'venom', 'lizards', 'frog', 'eel']",animal,0.0015483979368582368,A blind_snake is a type of [MASK].,blind_snake
92,"['bird', 'fish', 'dolphin', 'penguin', 'parrot', 'whale', 'mammal', 'shark', 'pigeon', 'goose', '##bird', 'duck', 'dog', 'butterfly', 'crab', 'birds', 'animal', 'heron', 'turtle', 'otter']",animal,0.0018957341089844704,A tern is a type of [MASK].,tern
93,"['kangaroo', 'bird', 'monkey', 'lizard', 'primate', 'mammal', 'animal', '##aby', 'cat', 'tree', 'parrot', 'cricket', 'pigeon', 'insect', 'spider', 'turtle', 'ant', 'deer', 'australian', 'rabbit']",animal,0.0194607712328434,A tree_wallaby is a type of [MASK].,tree_wallaby
94,"['fish', 'animal', 'mammal', 'catfish', 'bird', 'carp', 'snake', 'frog', 'eel', 'lizard', 'worm', 'mollusk', 'creature', 'salmon', 'toad', 'swimmer', 'trout', 'insect', 'freshwater', 'snail']",animal,0.01905769295990467,A carp is a type of [MASK].,carp
96,"['car', 'automobile', 'vehicle', 'mammal', 'suv', 'motorcycle', 'horse', 'animal', 'pigeon', 'beetle', 'cat', 'rabbit', 'bird', 'camel', 'jeep', 'bicycle', 'parrot', 'truck', 'jaguar', 'elephant']",animal,0.01920999027788639,A impala is a type of [MASK].,impala
98,"['owl', 'bird', 'owls', 'crow', 'animal', 'bat', 'heron', 'mammal', 'raven', 'hawk', 'eagle', 'finch', 'vulture', '##bird', 'cuckoo', 'birds', 'parrot', 'dog', 'falcon', 'elk']",animal,1.733985118335113e-05,A great_horned_owl is a type of [MASK].,great_horned_owl
102,"['bull', 'horse', 'dog', 'mascot', 'cow', 'rodeo', 'animal', 'pig', 'cattle', 'bear', 'ram', 'bulldog', 'goat', 'livestock', 'rooster', 'sausage', 'pigeon', 'pony', 'bulls', 'buffalo']",animal,0.008852342143654823,A boston_bull is a type of [MASK].,boston_bull
105,"['fish', 'mollusk', 'shrimp', 'animal', 'seafood', 'crab', 'shark', 'dolphin', 'lobster', 'tuna', 'bird', 'lizard', 'worm', 'octopus', 'fishes', 'mammal', 'oyster', 'snail', 'eel', 'gastropod']",animal,0.01482932548969984,A tropical_prawn is a type of [MASK].,tropical_prawn
106,"['shark', 'sharks', 'fish', 'dolphin', 'tuna', 'predator', 'whale', 'octopus', 'ray', 'swimmer', 'crocodile', 'monster', 'animal', 'fishes', 'mosquito', 'catfish', 'shrimp', 'crab', 'torpedo', 'lizard']",animal,2.3486696591135114e-05,A sandbar_shark is a type of [MASK].,sandbar_shark
110,"['lizard', 'lizards', 'reptiles', 'snake', 'dinosaur', 'cactus', 'insect', 'newt', 'mammal', 'toad', 'animal', 'scorpion', 'turtle', 'bird', 'frog', 'bug', 'kangaroo', 'worm', '##osaurus', 'snakes']",animal,1.6157084246515296e-05,A sagebrush_lizard is a type of [MASK].,sagebrush_lizard
112,"['animal', 'insect', 'mammal', 'organism', 'mollusk', 'worm', 'snail', 'gastropod', 'sponge', 'turtle', 'fossil', 'lizard', 'dinosaur', 'slug', 'fish', 'beetle', 'bird', 'spider', 'plant', 'shell']",animal,0.17182868719100952,A myriapod is a type of [MASK].,myriapod
114,"['man', 'male', 'person', 'human', 'homosexual', 'penis', 'woman', 'homo', 'transgender', 'homme', 'prostitute', 'female', 'pornography', 'humanoid', 'individual', 'primate', 'animal', 'men', 'anthropologist', 'negro']",animal,0.0020851704757660627,A neandertal_man is a type of [MASK].,neandertal_man
117,"['ape', 'animal', 'mammal', 'primate', 'elephant', 'gorilla', 'monkey', 'human', 'creature', 'dinosaur', 'lizard', 'predator', 'apes', 'mammals', 'beast', 'bird', 'animals', 'lion', 'cat', 'leopard']",animal,0.2505149245262146,A great_ape is a type of [MASK].,great_ape
119,"['snake', 'snakes', 'scorpion', 'lizard', 'python', 'serpent', 'cobra', 'viper', 'reptiles', 'animal', 'fish', 'bird', 'mammal', 'eel', 'spider', 'insect', 'worm', 'lizards', 'venom', 'crocodile']",animal,0.0006095157586969435,A indigo_snake is a type of [MASK].,indigo_snake
120,"['animal', 'mammal', 'fish', 'dinosaur', 'lizard', 'shark', 'bird', 'whale', 'predator', 'mollusk', 'turtle', 'primate', '##odon', 'slug', 'horse', 'reptiles', 'parrot', 'cat', 'creature', 'dog']",animal,0.34120428562164307,A cynodont is a type of [MASK].,cynodont
122,"['bird', 'turtle', 'lizard', 'fish', 'parrot', 'mammal', 'otter', 'duck', 'deer', 'bat', 'animal', 'snake', 'vulture', 'cat', 'owl', 'spider', 'crab', 'ant', 'pigeon', 'heron']",animal,0.006719723343849182,A pygmy_marmoset is a type of [MASK].,pygmy_marmoset
123,"['insect', 'animal', 'pest', 'ant', 'creature', 'worm', 'bug', 'rat', 'mammal', 'beetle', 'flea', 'bird', 'spider', 'parasite', 'fungus', 'predator', 'human', 'monster', 'pig', 'demon']",animal,0.19170236587524414,A vermin is a type of [MASK].,vermin
124,"['rabbit', 'mammal', 'animal', 'cat', 'hare', 'mouse', 'rabbits', 'dog', 'rodents', 'rat', 'pig', 'goat', 'fox', 'deer', 'flea', 'primate', 'pigeon', 'bunny', 'canine', 'weasel']",animal,0.010944314301013947,A european_rabbit is a type of [MASK].,european_rabbit
126,"['lynx', 'cat', 'dog', 'mammal', 'deer', 'lion', 'bat', 'bird', 'tiger', 'leopard', 'animal', 'werewolf', 'predator', 'jaguar', 'weasel', 'otter', 'wolf', 'owl', 'mouse', 'snake']",animal,0.004149621818214655,A canada_lynx is a type of [MASK].,canada_lynx
129,"['animal', 'mammal', 'bird', 'insect', 'pig', 'primate', 'monkey', 'ant', 'lizard', 'cat', 'rabbit', 'dog', 'creature', 'rat', 'human', 'fish', 'turtle', 'pigeon', 'ape', 'parrot']",animal,0.5543330311775208,A opossum is a type of [MASK].,opossum
132,"['primate', 'monkey', 'ape', 'mammal', 'animal', 'gorilla', 'human', 'mouse', 'bird', 'apes', 'cat', 'rodents', 'rat', 'mammals', 'dog', 'monkeys', 'african', 'zebra', 'animals', '##zee']",animal,0.02382754720747471,A eastern_chimpanzee is a type of [MASK].,eastern_chimpanzee
133,"['insect', 'bug', 'insects', 'fly', 'moth', 'pest', 'ant', 'wasp', 'beetle', 'mosquito', 'spider', 'organism', 'scorpion', 'butterfly', 'worm', 'parasite', '##fly', 'flies', 'fungus', 'animal']",animal,0.00018360765534453094,A wax_insect is a type of [MASK].,wax_insect
134,"['worm', 'insect', 'animal', 'creature', 'organism', 'bug', 'parasite', 'fish', 'mammal', 'spider', 'virus', 'food', 'poison', 'snake', 'computer', 'plant', 'worms', 'bird', 'fungus', 'slug']",animal,0.09097734838724136,A worm is a type of [MASK].,worm
135,"['fish', 'cod', 'tuna', 'shark', 'eel', 'lobster', 'mollusk', 'herring', 'oyster', 'duck', '##fish', 'turtle', 'shell', 'salmon', 'lizard', 'catfish', 'animal', 'shrimp', 'parrot', 'tail']",animal,0.0012848494807258248,A mullet is a type of [MASK].,mullet
138,"['dog', 'greyhound', 'puppy', 'hound', 'canine', 'animal', 'shepherd', 'labrador', 'dogs', 'horse', 'mammal', 'pony', 'pet', '##dog', 'cat', 'breed', 'racehorse', 'sheep', 'bird', 'pigeon']",animal,0.004320911131799221,A irish_water_spaniel is a type of [MASK].,irish_water_spaniel
139,"['horse', 'dog', 'pony', 'bird', 'pigeon', 'animal', 'bicycle', 'donkey', 'mammal', 'rabbit', 'cat', 'pig', 'parrot', 'elephant', 'sheep', 'racehorse', 'monkey', 'carriage', 'mule', 'locomotive']",animal,0.03577641025185585,A quadruped is a type of [MASK].,quadruped
142,"['bird', 'insect', 'lizard', 'primate', 'turtle', 'animal', 'spider', 'ant', 'mammal', 'butterfly', 'monkey', 'beetle', 'parrot', 'fish', 'bat', 'snake', 'crab', 'frog', 'pigeon', 'worm']",animal,0.03471928462386131,A platypus is a type of [MASK].,platypus
143,"['fish', 'shark', 'salmon', 'tuna', '##fish', 'shrimp', 'catfish', 'fishes', 'trout', 'seafood', 'herring', 'cod', 'oyster', 'dolphin', 'carp', 'aquarium', 'eel', 'fishery', 'animal', 'octopus']",animal,0.00042191881220787764,A young_fish is a type of [MASK].,young_fish
144,"['mammal', 'animal', 'fish', 'bird', 'insect', 'rat', 'snake', 'pig', 'snail', 'cricket', 'pigeon', 'beetle', 'rabbit', 'lizard', 'deer', 'bat', 'butterfly', 'horse', 'frog', 'creature']",animal,0.14993326365947723,A vole is a type of [MASK].,vole
145,"['animal', 'mammal', 'organism', 'fish', 'insect', 'lizard', 'creature', 'bird', 'primate', 'frog', 'mollusk', 'reptiles', 'animals', 'dinosaur', 'organisms', 'turtle', 'mammalian', 'mammals', 'human', 'aquatic']",animal,0.5710609555244446,A amphibian is a type of [MASK].,amphibian
148,"['fish', 'oyster', 'crab', 'shrimp', 'mollusk', 'sponge', 'lobster', 'snail', 'shell', 'gastropod', 'octopus', 'coral', 'animal', 'crabs', 'seafood', 'jelly', 'worm', '##fish', 'aquarium', 'squid']",animal,0.006501603405922651,A clam is a type of [MASK].,clam
149,"['dog', 'canine', 'dogs', 'animal', 'mammal', 'shepherd', 'cat', 'puppy', '##dog', 'greyhound', 'inuit', 'hound', 'coyote', 'wolf', 'breed', 'labrador', 'bulldog', 'chihuahua', 'human', 'livestock']",animal,0.003531653666868806,A eskimo_dog is a type of [MASK].,eskimo_dog
150,"['dinosaur', 'animal', 'lizard', 'reptiles', 'mammal', '##aur', 'creature', 'dinosaurs', 'turtle', 'bird', 'mollusk', 'predator', 'animals', 'crocodile', 'monster', 'beast', '##osaurus', '##aurus', 'lizards', 'organism']",animal,0.03685170039534569,A tyrannosaur is a type of [MASK].,tyrannosaur
152,"['perch', 'fish', 'bird', 'parrot', 'catfish', 'insect', 'mushroom', 'frog', 'instrument', '##fish', 'fishing', 'animal', 'cricket', 'butterfly', 'lizard', 'eel', 'cap', 'trout', 'seafood', 'aquarium']",animal,0.00044895411701872945,A european_perch is a type of [MASK].,european_perch
154,"['fish', 'seafood', 'shrimp', 'lobster', 'shark', 'tuna', 'crab', '##fish', 'oyster', 'octopus', 'catfish', 'salmon', 'squid', 'mollusk', 'cod', 'fishes', 'herring', 'eel', 'aquarium', 'animal']",animal,0.00118898821529001,A oilfish is a type of [MASK].,oilfish
157,"['bat', 'bats', 'mammal', 'insect', 'primate', 'bird', '##bat', 'owl', 'cricket', 'mouse', 'cat', 'monkey', 'vampire', 'butterfly', 'animal', 'rat', 'moth', 'spider', 'rabbit', 'rodents']",animal,5.103069270262495e-05,A little_brown_bat is a type of [MASK].,little_brown_bat
158,"['dog', 'hound', 'canine', 'greyhound', 'bulldog', 'hounds', 'dogs', 'animal', 'puppy', 'wolf', 'cat', 'rabbit', '##dog', 'shepherd', 'hunter', 'breed', 'mammal', 'chihuahua', 'badger', 'dogg']",animal,0.0006445679464377463,A plott_hound is a type of [MASK].,plott_hound
161,"['horse', 'animal', 'pony', 'horses', 'breed', 'livestock', 'donkey', 'equestrian', 'cattle', 'cavalry', 'stallion', 'dog', 'thoroughbred', 'animals', 'racehorse', 'mule', 'sheep', 'transport', 'arabian', 'mare']",animal,0.028602635487914085,A draft_horse is a type of [MASK].,draft_horse
163,"['horse', 'pony', 'animal', 'equestrian', 'horses', 'donkey', 'stallion', 'breed', 'racehorse', 'livestock', 'rider', 'riding', 'mare', 'saddle', 'rode', 'thoroughbred', 'arabian', 'dog', 'horseback', 'animals']",animal,0.01649290695786476,A saddle_horse is a type of [MASK].,saddle_horse
165,"['insect', 'tick', 'worm', 'beetle', 'bug', 'flea', 'parasite', 'mosquito', 'fly', 'bird', 'moth', 'snake', 'ant', 'animal', 'fungus', 'wasp', 'bite', 'parasites', 'mammal', 'virus']",animal,0.004299618303775787,A bird_louse is a type of [MASK].,bird_louse
166,"['bird', 'mammal', 'insect', 'animal', 'snake', 'cat', 'butterfly', 'tree', 'fish', 'monkey', 'plant', 'turtle', 'dog', 'flower', 'parrot', 'primate', 'spider', 'moth', 'lizard', 'goat']",animal,0.019815420731902122,A hamadryad is a type of [MASK].,hamadryad
167,"['duck', 'bird', 'ducks', 'turtle', 'goose', 'fish', 'pigeon', 'swan', 'frog', 'parrot', 'penguin', 'dolphin', 'chicken', 'animal', 'heron', 'diver', 'boat', 'birds', 'finch', 'crane']",animal,0.00021505016775336117,A diving_duck is a type of [MASK].,diving_duck
168,"['cell', 'locomotive', 'structure', 'compound', 'particle', 'organism', 'organ', 'worm', 'asteroid', 'tornado', 'spider', 'comet', 'animal', 'cluster', 'molecule', 'sculpture', 'insect', 'architecture', 'shell', 'butterfly']",animal,0.010034069418907166,A monotreme is a type of [MASK].,monotreme
169,"['animal', 'insect', 'organism', 'pest', 'disease', 'creature', 'bug', 'pathogen', 'organisms', 'parasite', 'monster', 'mammal', 'species', 'plant', 'person', 'predator', 'bacterium', 'fungus', 'human', 'ant']",animal,0.23637408018112183,A pest is a type of [MASK].,pest
174,"['dog', 'toy', 'puppy', 'animal', 'pet', 'canine', 'pony', 'chihuahua', 'cat', 'mammal', 'dogs', 'greyhound', 'rabbit', 'horse', 'mascot', 'breed', 'puppet', 'pig', 'pets', 'creature']",animal,0.00933841709047556,A toy_poodle is a type of [MASK].,toy_poodle
175,"['bird', 'parrot', 'animal', 'mammal', 'pigeon', 'lizard', 'primate', 'fish', 'insect', 'creature', 'cat', 'dog', 'turtle', 'monkey', 'pet', 'duck', 'chicken', 'horse', 'owl', 'birds']",animal,0.20641064643859863,A parrot is a type of [MASK].,parrot
176,"['horse', 'pony', 'donkey', 'animal', 'horses', 'equestrian', 'stallion', 'racehorse', 'breed', 'thoroughbred', 'dog', 'mule', 'mare', 'sheep', 'arabian', 'cattle', 'goat', 'reindeer', 'zebra', 'camel']",animal,0.004486409481614828,A przewalskis_horse is a type of [MASK].,przewalskis_horse
177,"['vampire', 'bird', 'lizard', 'goat', 'pigeon', 'fish', 'cat', 'snake', 'horse', 'monkey', 'dog', 'pig', 'parrot', 'hawk', 'catfish', 'animal', 'vulture', 'turtle', 'rabbit', 'coyote']",animal,0.010483143851161003,A dark_eyed_junco is a type of [MASK].,dark_eyed_junco
178,"['snake', 'scorpion', 'lizard', 'snakes', 'rattle', 'cobra', 'viper', 'insect', 'bird', 'tiger', 'spider', 'alligator', 'cactus', 'python', 'animal', 'bite', 'deer', 'lizards', 'whip', 'predator']",animal,0.0008350404677912593,A tiger_rattlesnake is a type of [MASK].,tiger_rattlesnake
181,"['fish', 'shrimp', 'seafood', 'crab', 'animal', 'food', 'bird', 'mollusk', 'lobster', 'insect', 'oyster', 'turtle', 'mammal', 'worm', 'octopus', 'shark', 'gastropod', 'catfish', 'snail', 'boat']",animal,0.021785574033856392,A shrimp is a type of [MASK].,shrimp
185,"['dinosaur', 'lizard', 'reptiles', 'animal', 'mammal', '##aur', 'turtle', 'dinosaurs', 'mollusk', 'creature', 'fossil', 'bird', 'insect', 'crocodile', '##osaurus', 'organism', 'predator', '##aurus', 'lizards', 'monster']",animal,0.015425297431647778,A hadrosaur is a type of [MASK].,hadrosaur
